Mixture	Endothelial	CAFs	PVL	B-cells	T-cells	Myeloid	Normal Epithelial	Plasmablasts	Cancer Epithelial	P-value	Correlation	RMSE	Absolute score (sig.score)
TCGA-A1-A0SK	0.265807445165536	0.272132538445754	0.507579430816301	0	0	0	2.90961750840605	0.13254049004147	2.22280319874961	0	0.196230565058183	1.04933192606948	6.31048061162472
TCGA-A1-A0SO	0.561280060126922	0.267776745312862	0	0	0	0	2.77671694223544	0.447880814687544	2.16664507399907	0	0.209964105045536	1.03121650019945	6.22029963636184
TCGA-A1-A0SP	0.53166396793369	0.882947468379476	0.320632292521011	0	0	0.97182818780519	2.95528938092748	0.278811059540753	1.56955894674615	0	0.404913676861514	0.921977823681088	7.51073130385375
TCGA-A2-A04P	0.856794964854145	1.01379844812704	0.911593837916651	0.0909223031097094	0.0539106706157213	0.261499285344895	3.49567160662398	0.316820871487441	1.24168335946305	0	0.407676736889757	0.925749404880714	8.24269534754263
TCGA-A2-A04Q	0.468170135105549	1.58326476548866	0.397534597981101	0	0.718767784275051	1.15340055737366	1.80236055576325	1.43873890855026	1.00145776745767	0	0.319999665928216	0.960415653168867	8.5636950719952
TCGA-A2-A04T	0.247309114809051	0.550911277316947	0.674686141210104	0	0.155640406434785	0.859192840938975	3.28700339864214	0.38260763744868	1.26164310247888	0	0.337567553853633	0.959520022772811	7.41899391927956
TCGA-A2-A04U	0.346063948349568	1.19453127945978	0.580070307791506	0	0	0.123855711153754	2.26466627262376	0.444940897571931	1.9023331993808	0	0.434785276825042	0.909579274257132	6.85646161633111
TCGA-A2-A0CM	0.597749835181391	1.73232923902754	0.239586537907111	0	0.279982418894633	1.15536349380699	1.7508325639982	0.15405842798105	1.46228450094567	0	0.374502510694485	0.947734899590882	7.37218701774259
TCGA-A2-A0D0	0.499302801718303	0.139294052780051	0.324502338394995	0	0.114823824525913	0.365048578798242	2.99158415267793	0	2.59749758036425	0	0.459280446914942	0.891884296754012	7.03205332925968
TCGA-A2-A0D2	0.865879306541595	1.29373804368859	0.651892890857652	0	0.0869857132314624	0.37478577096043	2.84520415602399	0.166487264920239	1.52464319920409	0	0.382358424611141	0.941713721322492	7.80961634542805
TCGA-A2-A0ST	0.876862889986657	0.734786614985816	0.247356850197234	0.425824100149619	0.865112989534659	0.806408787386491	2.09066404947406	1.1994883871693	0.491303317307042	0	0.341375011461932	0.942284958315426	7.73780798619088
TCGA-A2-A0SX	0.746165886180708	3.14789883801492	0.211282913557988	0.0610153487544187	0.241029881158353	0.994385066620595	1.84848941257661	0.75471553343392	0.752822373725792	0	0.404823161228985	0.958099563277328	8.75780525402331
